Date,data$Gold,data$Bitcoin,data$SP500,data$Treasurybonds,data$Currency
2/1/2024,2054.70,61169.30,5096.27,4.254,1.1302
3/1/2024,2227.10,71332.00,5254.35,4.206,1.1083
4/1/2024,2302.90,60666.60,5035.69,4.682,1.0874
5/1/2024,2333.90,67530.10,5277.51,4.503,1.1083
6/1/2024,2350.90,62754.30,5460.48,4.392,1.1122
7/1/2024,2449.30,64626.00,5522.30,4.033,1.1388
8/1/2024,2516.00,58978.60,5648.40,3.909,1.1759
9/1/2024,2647.90,63339.20,5762.48,3.786,1.1825
10/1/2024,2761.60,70281.80,5705.45,4.281,1.1575
11/1/2024,2681.00,96405.70,6032.38,4.177,1.1351
12/1/2024,2653.30,93557.20,5881.63,4.572,1.102
1/1/2025,2835.00,94536.10,6040.53,4.542,1.0977
2/1/2025,2862.20,84381.20,5954.50,4.202,1.1069
3/1/2025,3135.60,82548.80,5611.85,4.21,1.1308
4/1/2025,3374.70,94184.40,5569.06,4.175,1.2104
5/1/2025,3330.10,104598.00,5911.69,4.418,1.2157
6/1/2025,3322.30,107171.10,6204.95,4.226,1.2609
